tasks,tags
Build a blanket fort and watch a movie,indoor,cozy,creative,relaxing,solo
Host a themed costume dinner party,social,food,creative,group,weekend
Try cooking a dish from a random country,food,creative,adventurous,learning,indoor
Go on a sunrise hike,outdoor,fitness,adventurous,solo,weekend
Have a board game night,social,indoor,group,cozy,weekend
Paint something using only your fingers,creative,indoor,solo,relaxing
Do a random act of kindness,social,quick,adventurous,solo
Create a DIY photo booth at home,creative,indoor,social,group
Learn a magic trick,learning,creative,quick,solo
Write a short sci-fi story,creative,indoor,solo,cozy
Try a 30-day fitness challenge,fitness,challenge,solo,indoor
Plan a picnic at the park,outdoor,food,social,relaxing,weekend
Make homemade pizza from scratch,food,creative,indoor,cozy
Watch a documentary about space,learning,indoor,relaxing,solo
Start a mini herb garden,outdoor,creative,learning,relaxing
Do yoga in the park,outdoor,fitness,relaxing,solo
Host a karaoke night,social,group,indoor,weekend
Build a LEGO masterpiece,creative,indoor,cozy,solo
Try geocaching in your city,outdoor,adventurous,challenge,weekend
Have a no-phone evening,challenge,relaxing,indoor,solo
Bake cookies and share with neighbors,food,social,cozy,creative
Create a vision board,creative,indoor,relaxing,solo
Go roller skating,fitness,outdoor,social,adventurous
Learn basic phrases in a new language,learning,challenge,quick,solo
Do a sunset photography walk,outdoor,creative,relaxing,solo
Organize a backyard water balloon fight,outdoor,social,group,weekend
Try meditation for 15 minutes,relaxing,indoor,solo,quick
Write letters to your future self,creative,cozy,indoor,solo
Cook a three-course fancy dinner,food,creative,challenge,indoor
Go stargazing,outdoor,relaxing,adventurous,weekend
Make a time capsule,creative,indoor,cozy,solo
Try a new coffee shop,social,food,adventurous,weekend
Do a puzzle race with friends,indoor,challenge,group,cozy
Learn to juggle,learning,challenge,quick,solo
Build a snowman (or sandcastle),outdoor,creative,social,seasonal
Have a movie marathon,indoor,cozy,relaxing,weekend
Try a new workout class,fitness,adventurous,social,challenge
Make homemade ice cream,food,creative,indoor,cozy
Start a gratitude journal,relaxing,creative,indoor,solo
Explore a new neighborhood,outdoor,adventurous,weekend,solo
Create a playlist for every mood,creative,indoor,relaxing,solo
Have a trivia night,social,group,indoor,challenge
Try a DIY craft from YouTube,creative,learning,indoor,solo
Do a random Wikipedia deep dive,learning,indoor,quick,solo
Have breakfast for dinner,food,creative,indoor,cozy
Try a cold shower challenge,challenge,fitness,quick,solo
Organize a mini scavenger hunt,outdoor,social,group,weekend
Make friendship bracelets,creative,cozy,indoor,social
Have a themed movie dress-up night,social,creative,indoor,group
Take a spontaneous road trip,outdoor,adventurous,social,weekend
Learn origami,learning,creative,indoor,solo
Try painting with watercolors,creative,relaxing,indoor,solo
Make a bucket list for the year,creative,learning,indoor,solo
Cook a meal only using leftovers,food,challenge,creative,indoor
Dance like nobody’s watching for 10 minutes,fitness,quick,indoor,solo
Play frisbee at the park,outdoor,fitness,social,weekend
Have a spa night at home,relaxing,cozy,indoor,solo
Watch the sunrise with coffee,outdoor,relaxing,cozy,solo
Make homemade candles,creative,cozy,indoor,solo
Try a new board game,indoor,social,group,challenge
Learn a card trick,learning,creative,quick,solo
Create chalk art on the sidewalk,outdoor,creative,social,quick
Do a declutter speed challenge,challenge,quick,indoor,solo
Have a storytelling night,social,creative,group,cozy
Try a new smoothie recipe,food,creative,quick,indoor
Read poetry aloud,creative,cozy,indoor,relaxing
Build a cardboard robot,creative,indoor,challenge,solo
Plan your dream vacation itinerary,creative,learning,indoor,solo
Have a “yes day” adventure,adventurous,social,weekend,challenge
Try sketching strangers at a cafe,creative,learning,outdoor,solo
Make a homemade board game,creative,challenge,indoor,group
Do a random fitness dare,fitness,challenge,quick,social
Host a potluck dinner,food,social,group,weekend
Take a nature sketching session,outdoor,creative,relaxing,solo
Try blindfolded taste testing,food,challenge,social,group
Make a short film on your phone,creative,challenge,group,weekend
Have a cozy reading afternoon,cozy,relaxing,indoor,solo
Try a new hairstyle just for fun,creative,quick,indoor,solo
Play flashlight tag,outdoor,social,group,adventurous
Create your own cocktail or mocktail,food,creative,social,indoor
